Comparison,Asset,DM_Statistic,P_Value,Significance
RF vs GARCH,BTC,1.9222532764712639,0.05457389604402629,*
RF vs GARCH,ETH,0.8355638002227733,0.40340034079265097,ns
RF vs GARCH,SPX,2.1593378800214005,0.030823963400574472,**
RF vs GARCH,VIX,1.2014369987839835,0.2295817312940267,ns
XGBoost vs GARCH,BTC,2.5890984881005283,0.009622756817735612,***
XGBoost vs GARCH,ETH,1.120214640517675,0.26262230653551244,ns
XGBoost vs GARCH,SPX,1.3345085837289103,0.1820372356162907,ns
XGBoost vs GARCH,VIX,0.677524846777048,0.4980730108642102,ns
EGARCH vs GARCH,BTC,0.05710784573925068,0.9544592866289159,ns
EGARCH vs GARCH,ETH,1.7241065480089919,0.08468861022209295,*
EGARCH vs GARCH,SPX,-0.4705119995097532,0.6379892632076056,ns
EGARCH vs GARCH,VIX,0.8798595286362523,0.37893541151975896,ns
XGBoost vs RF,BTC,0.1579784265013184,0.8744737983866391,ns
XGBoost vs RF,ETH,1.0831733049631562,0.27873150633165444,ns
XGBoost vs RF,SPX,-1.2820758438906672,0.19981604186473456,ns
XGBoost vs RF,VIX,-2.385119365809526,0.017073580510602593,**
LSTM vs GARCH,BTC,-1.5589116358709838,0.11901729592555244,ns
LSTM vs GARCH,ETH,-3.2108820371004785,0.0013232824313693659,***
LSTM vs GARCH,SPX,-0.01380460754547558,0.988985866594708,ns
LSTM vs GARCH,VIX,-0.16262537307491295,0.870813408111597,ns
